"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
483306,"December 31, 2015",Missouri,"Kansas City","3000 block of Woodland Avenue",0,1,N/A
476880,"December 31, 2015",Florida,Bradenton,"500 block of 13th Avenue West",0,0,N/A
476807,"December 31, 2015",California,"San Francisco","Fillmore and Turk",0,1,N/A
476740,"December 31, 2015","South Carolina",Gaffney,N/A,1,0,N/A
476083,"December 31, 2015",Mississippi,"Rolling Fork","68 Frontage Road",1,0,N/A
493594,"December 31, 2015",Ohio,Akron,"800 block of East Crosier Street",0,1,N/A
475930,"December 31, 2015",Kentucky,Lexington,"Red Mile Road",0,1,N/A
476434,"December 31, 2015",Pennsylvania,Pittsburgh,"9th Avenue and Penn Avenue",0,0,N/A
476012,"December 31, 2015",Arizona,Chandler,"Loop 101 and Chandler Boulevard",1,0,N/A
476116,"December 31, 2015",Texas,"San Antonio","7800 block of Chambers Street",0,1,N/A
475827,"December 30, 2015",Georgia,Lithonia,"4500 block of Idlewood Park",1,0,N/A
476070,"December 30, 2015",Pennsylvania,Philadelphia,"2500 block of N Bancroft St",0,1,N/A
477060,"December 30, 2015",Indiana,Indianapolis,"1481 W 10th St",0,1,N/A
475418,"December 29, 2015","North Carolina","Winston Salem (Winston-salem)","Quinn Forest Way",0,1,N/A
475219,"December 29, 2015",Ohio,"Dayton (Trotwood)","1400 block of Hagerman Drive",0,1,N/A
475214,"December 29, 2015",Florida,"Saint Cloud","10th Street",1,0,N/A
475481,"December 28, 2015",California,"Rancho Cucamonga","7429 Arbor Lane",0,1,N/A
474044,"December 28, 2015","South Carolina",Union,"South Enterprise Street",0,1,N/A
474960,"December 28, 2015",Alaska,Bethel,N/A,1,0,N/A
474447,"December 28, 2015","New Jersey",Trenton,"1900 block of South Clinton Avenue",0,1,N/A
473877,"December 28, 2015",Florida,Jacksonville,"Old Middleburg Road",0,1,N/A
474501,"December 28, 2015",Florida,Jacksonville,"9431 Philips Highway",0,1,N/A
474763,"December 28, 2015","New York",Hunt,"New Rd",0,1,N/A
474347,"December 28, 2015",California,"Long Beach","2200 block of Santa Fe Avenue",0,1,N/A
475109,"December 28, 2015",Texas,Borger,"422 N Main St",0,1,N/A
474248,"December 28, 2015",Washington,"Battle Ground","614 N.W. 13th Circle",0,1,N/A
1558638,"December 27, 2015",Wisconsin,"Eau Claire",N/A,0,1,N/A
473804,"December 27, 2015",Minnesota,Duluth,"300 block of West Faribault Street",1,0,N/A
473464,"December 27, 2015","New Jersey",Glassboro,"200 block of East High Street",0,1,N/A
473825,"December 27, 2015",California,"Crows Landing","Marshall Road",0,1,N/A
475076,"December 27, 2015",Michigan,Lake,"9000 block of East St",0,1,N/A
474051,"December 26, 2015",Louisiana,"Baton Rouge","11900 block of Nicholson Drive",0,0,N/A
473382,"December 26, 2015",Michigan,Gowen,"Lincoln Lake Ave NE and 18 Mile Rd NE",1,1,N/A
472328,"December 26, 2015",Indiana,"La Porte","5344 South Hupp Road",0,1,N/A
473661,"December 26, 2015",Virginia,"Newport News","400 block of West 27th Street",0,1,N/A
478102,"December 26, 2015",Arkansas,"Clark (county)",N/A,1,0,N/A
479925,"December 26, 2015",Texas,Burnet,"157 Harold Dr",1,0,N/A
475059,"December 26, 2015",Michigan,Columbiaville,"3000 block of Norway Lake Rd",0,1,N/A
473455,"December 26, 2015",Texas,Huntsville,N/A,0,1,N/A
472117,"December 25, 2015",Tennessee,Memphis,"Madison Avenue and BB King Boulevard",0,1,N/A
471817,"December 25, 2015",Colorado,Denver,N/A,0,1,N/A
472369,"December 25, 2015",Texas,Houston,"4000 block of Corder",0,1,N/A
476176,"December 25, 2015","New York",Brooklyn,"755 Fenimore",0,1,N/A
472321,"December 25, 2015",Nevada,"Las Vegas","3600 block of Kelcie Marie Avenue",0,1,N/A
472078,"December 25, 2015",Oregon,Molalla,"30700 block of S Marian St",0,1,N/A
474181,"December 24, 2015","North Carolina","Franklin (Watauga)","123 Old Chigger Trail",0,1,N/A
471414,"December 24, 2015",Tennessee,Nashville,"400 block of Wilclay Drive",1,0,N/A
477294,"December 24, 2015",Georgia,Athens,"250 Epps Bridge Parkway",0,0,N/A
472729,"December 24, 2015",Texas,"Fort Worth (Watauga)","123 Old Chigger Trail",0,1,N/A
473489,"December 24, 2015","South Carolina",Cottageville,"73 Apostle Lane",0,1,N/A
475534,"December 23, 2015","North Dakota",Bismarck,"Claridge Loop",0,1,N/A
470855,"December 23, 2015",Arizona,Tempe,"Warner Road and Hardy Drive",0,1,N/A
471179,"December 23, 2015",Iowa,"Des Moines","5800 Fleur Drive",0,0,N/A
471206,"December 23, 2015",Louisiana,"Baton Rouge","Jefferson Avenue",0,1,N/A
471353,"December 23, 2015",California,Poway,"13550 Danielson St.",0,1,N/A
475767,"December 23, 2015","New Mexico","Rio Rancho","300 block of Aldaba Cir NE",1,0,N/A
470661,"December 22, 2015",Kansas,Manhattan,"200 block of East Park Road",0,1,N/A
470181,"December 22, 2015",Georgia,Augusta,"700 block of East Chapman Street",0,1,N/A
470512,"December 22, 2015",Wisconsin,Beloit,"212 8th St",1,0,N/A
470495,"December 22, 2015",Florida,Miami,"10600 block of Southwest 27th Street",1,0,N/A
470971,"December 21, 2015",Missouri,"Poplar Bluff","500 block of Co Rd 4222",1,0,N/A
469723,"December 21, 2015",Pennsylvania,Pittsburgh,"200 block of Mathilda Street",3,0,N/A
469319,"December 21, 2015",Delaware,Claymont,"749 Montclair Drive",0,1,N/A
470497,"December 21, 2015","New York",Buffalo,"E. Delavan and Wyoming",0,0,N/A
468966,"December 20, 2015",Indiana,"South Bend (Roseland)","215 S Dixie Way",0,1,N/A
473902,"December 20, 2015",Missouri,Gainesville,"MO Highway 5",0,1,N/A
469446,"December 20, 2015",Virginia,Richmond,"1701 Fairfield Way",0,1,N/A
468867,"December 20, 2015",Georgia,Albany,"3100 block of Wax Myrtle Court",0,1,N/A
469238,"December 20, 2015",Colorado,"Fort Collins","Shoreline Dr",0,1,N/A
469665,"December 20, 2015",Pennsylvania,"Chester (Eddystone)","1200 block of Saville Ave",1,0,N/A
470038,"December 20, 2015","New York",Vernon,"Jenkins Rd and Spring House Rd",0,1,N/A
469052,"December 19, 2015",Ohio,Toledo,"4500 N Detroit Ave",0,1,N/A
470044,"December 19, 2015",Louisiana,Thibodaux,"117 Violet St",1,0,N/A
468995,"December 19, 2015",California,"San Diego","3800 block of Caminito Aguilar",0,1,N/A
468902,"December 19, 2015",California,"San Diego","3884 Caminito Aguilar",0,1,N/A
469334,"December 19, 2015",Texas,Houston,"10633 Strickland",0,1,N/A
468707,"December 19, 2015",Georgia,"Atlanta (College Park)","1700 block of Hilltop Way",0,1,N/A
469016,"December 19, 2015",Mississippi,Magee,N/A,1,0,N/A
468710,"December 19, 2015",Nebraska,Omaha,"12441 Miami St.",1,0,N/A
468330,"December 18, 2015",Florida,Orlando,"Silver Star Rd",0,2,N/A
475620,"December 18, 2015",Minnesota,Moorhead,"1300 block of 3rd Avenue N.",0,0,N/A
467873,"December 18, 2015","North Carolina",Wilmington,"5942 Market St",1,0,N/A
468118,"December 18, 2015","New York",Schenectady,N/A,0,1,N/A
468317,"December 18, 2015",Florida,"Hollywood (Pembroke Park)","3300 Hallandale Beach Boulevard",0,1,N/A
468242,"December 18, 2015",Louisiana,Patterson,"Grandwood Drive",1,0,N/A
469863,"December 18, 2015","New Hampshire",Seabrook,"Farm Lane",0,0,N/A
584683,"December 17, 2015","South Dakota","Lower Brule",N/A,1,0,N/A
468165,"December 17, 2015",Colorado,Aurora,N/A,0,1,N/A
467779,"December 17, 2015",California,"San Diego","500 block of 64th Street",0,1,N/A
469415,"December 17, 2015",Arkansas,Marmaduke,"700-block of North 4th Street",0,1,N/A
467309,"December 17, 2015",Illinois,Belleville,"1800 block of Dalton Dr",1,0,N/A
468705,"December 17, 2015",Indiana,Greenwood,"800 block of Carmen Lane",0,1,N/A
467547,"December 17, 2015",Michigan,Detroit,Ferguson,1,0,N/A
468675,"December 17, 2015","West Virginia",Huntington,"5300 block of Longwood Road",0,1,N/A
467285,"December 16, 2015",Iowa,Burlington,N/A,0,1,N/A
467888,"December 16, 2015",Oklahoma,Caney,N/A,0,1,N/A
466540,"December 16, 2015",Connecticut,Burlington,"Foote Road",0,1,N/A
467279,"December 16, 2015",Florida,"Dade City","21st Street and Powerline Road",1,0,N/A
467338,"December 16, 2015",Missouri,Independence,N/A,0,1,N/A
467797,"December 16, 2015",Georgia,Savannah,"500 block of Pennsylvania Avenue",0,2,N/A
467328,"December 15, 2015",Virginia,"Front Royal","Nez Perce Way",1,0,N/A
467372,"December 15, 2015",Massachusetts,Boston,"7 Morse Street",0,1,N/A
466617,"December 15, 2015","New York",Staatsburg,"4912 Route 9",0,0,N/A
467716,"December 15, 2015",Oklahoma,Tulsa,"104th and Hudson",0,1,N/A
466483,"December 15, 2015",Missouri,Imperial,"5400 block of Lakewood Terrace",0,1,N/A
466455,"December 15, 2015",Oklahoma,Tulsa,"5400 block of S. 79th E. Avenue",0,1,N/A
465647,"December 14, 2015",Georgia,Columbus,"1908 Floyd Road",0,3,N/A
466375,"December 14, 2015",Ohio,Toledo,"2100 block of Alvin Street",0,1,N/A
465223,"December 14, 2015",Pennsylvania,Philadelphia,"700 block of W Luzerne St",0,1,N/A
466556,"December 14, 2015",Texas,Gainesville,"900 block of East Scott Street",0,1,N/A
465921,"December 14, 2015",Louisiana,"Bossier City","1000 block of Gould Drive.",0,1,N/A
465632,"December 13, 2015",Minnesota,Rochester,N/A,0,1,N/A
465741,"December 13, 2015",Mississippi,Natchez,"Mount Carmel Road",1,0,N/A
466323,"December 13, 2015",Indiana,Gary,"5800 block of Forest Court",0,1,N/A
465277,"December 13, 2015",California,"Apple Valley","21300 Bear Valley Road",0,1,N/A
470023,"December 13, 2015",Missouri,"Kansas City","Interstate 435 and Winner Road",1,0,N/A
466390,"December 13, 2015",Idaho,"Coeur D Alene (Coeur D'alene)","N 3rd St and E Indiana Ave",1,0,N/A
465332,"December 13, 2015",Indiana,Ferdinand,N/A,0,2,N/A
465298,"December 13, 2015",Iowa,Hopkinton,N/A,0,1,N/A
465207,"December 13, 2015",Minnesota,"Minneapolis (Fridley)","755 53rd Avenue N.E.",0,0,N/A
465293,"December 13, 2015",Iowa,Emmetsburg,N/A,0,1,N/A
464577,"December 12, 2015",Oklahoma,Lawton,"5214 Rogers Lane",1,0,N/A
464077,"December 12, 2015",Alaska,Anchorage,"4000 block of Wispen Circle",0,1,N/A
465282,"December 12, 2015",California,"Harbor City","1600 block of Lomita Boulevard",0,1,N/A
465142,"December 12, 2015","North Carolina",Fayetteville,"6500 block of Wicklow Place",1,0,N/A
464183,"December 12, 2015",Illinois,Chicago,"5900 block of South Calumet Avenue",0,1,N/A
464648,"December 12, 2015",Iowa,Stuart,N/A,0,1,N/A
464645,"December 12, 2015",Florida,Tampa,"4611 E Whiteway Drive",1,0,N/A
465820,"December 12, 2015","New Hampshire",Nashua,"Concord Street",0,1,N/A
466939,"December 11, 2015",Indiana,"Saint John","9100 block of West 85th Avenue",0,1,N/A
464099,"December 11, 2015",Tennessee,Tullahoma,N/A,0,1,N/A
463630,"December 11, 2015",Kansas,"South Hutchinson","107 East Avenue B",1,0,N/A
1433162,"December 11, 2015",Maryland,"Silver Spring","8000 block of 13th St",0,1,N/A
474429,"December 11, 2015",Ohio,Westlake,N/A,0,0,N/A
474425,"December 11, 2015",Mississippi,Saucier,"Church Avenue",0,1,N/A
463684,"December 10, 2015",Wyoming,Casper,"Coal Mountain Rd",1,0,N/A
